School Name,Pincode,District
SRI SANGAMESWARA U P SCHO,515711,Anantpur
VIVEKANANDA EM SCHOOL,515711,Anantpur
PRIMARY SCHOOL FOR INCLUSIVE EDUCATION RDT,515711,Anantpur
SRI VANI SCHOOL OF LEARNING,515711,Anantpur
JAGRUTHI AADARSHA VIDYALAYA EM SCHOOL KUDAIR,515711,Anantpur
SRI MAHESWARI EM SCHOOL,515812,Anantpur
JYOTHI E/M HS,515812,Anantpur
GRAMABYUDAYA PS 9 WARD,515812,Anantpur
SRI VIVEKANANADA E/M SCHO,515812,Anantpur
SHANTHINIKETHAN PRIMARY SCHOOL,515812,Anantpur
SRI SAI PRAGATHI EM UP SC,515812,Anantpur
USHODAYA EM HIGH SCHOOL,515110,Anantpur
VANI VIDYANIKETHAN E/M.U.,515812,Anantpur
USHODHAYAVIDYA ENGLISH UP,515812,Anantpur
SRI VIVEKANANDA E.M. HIGH,515812,Anantpur
JYOTHI ENGLISH MEDIUM HIG,515812,Anantpur
GURU SAI E.M.SCHOOL,515812,Anantpur
VANI VIDYANIKETHAN E.M.S,515812,Anantpur
SRI SIDDESWARA EM,515822,Anantpur
"SREE BASAVESWARA VIDYANIKETHAN EM HIGH SCHOOL ,URAVAKONDA",515812,Anantpur
THE EDISON EM,515812,Anantpur
VIJAYA EM .UP SCHOOL,515812,Anantpur
MAHATMA JR. COLLEGE D.NO. 9-2-59 URAVAKONDA,515812,Anantpur
AVR HS URAVAKONDA,515812,Anantpur
AVR E-TECHNO EM PS HAMALI,515812,Anantpur
CARE ENGLISH MEDIUM UPPER PRIMARY SCHOOL,515812,Anantpur
SRI MAHESWARI E M HIGH SCHOOL,515812,Anantpur
SREE BASAVESWARA VIDYANIKETHAN EM HIGH SCHOOL,515812,Anantpur
THE EDISON E M SCHOOL,515812,Anantpur
SRI SREENIVASA VIDYANIKETHAN (TM/EM) PRIMARY SCHOOL,515741,Anantpur
SRI SREENIVASA VIDYANIKETHAN TM AND EM HIGH SCHOOL,515741,Anantpur
SUNRISES E.M. SCHOOL,515741,Anantpur
SRI VINAYAKA UP SCHOOL,515871,Anantpur
SRIVIDYANIKETAN YRGT,515871,Anantpur
NATIONAL E.M PS,515871,Anantpur
SRI SAI V.N EM UP SCHOOL,515871,Anantpur
LITTLE ANGELS EM SCHOOL,515871,Anantpur
NATIONAL ENG. MED.HIGH SC,515871,Anantpur
VIDYANIKETAN PRIMARY SCHO,515871,Anantpur
ATHAULLA PS,515871,Anantpur
VIDYANIKETAN HS,515871,Anantpur
ATHAULLA EMHS,515871,Anantpur
LITTLE ANGELES ENG HS,515871,Anantpur
VIDYANIKETHAN JUNIOR COLLEGE,515871,Anantpur
NATARAJ EM SCHOOL,515871,Anantpur
MOHAMMADIA JR.COLLEGE RAYADURG,515865,Anantpur
ALI PROGRESSIVE EM SCHOOL,515865,Anantpur
STONE VALLY EM SCHOOL,515867,Anantpur
SRI VIVEKANANDA EM SCHOOL,515867,Anantpur
P.S.R.EM PRIMARY SCHOOL,515865,Anantpur
P.S.R.EM HS SCHOOL,515865,Anantpur
ST PAULS E M PRI SCHOOL,515865,Anantpur
SRI VINAYASRI VIDYANIKETA,515865,Anantpur
VIDYARTHI PRIMARY SCHOOL,515865,Anantpur
